,Problem,Project Related to Maven/Java or Not(Yes or No),Is Issue Report Related to Flaky test or Not?(Yes or No),Has steps to Reproduce or Not (copy steps here or leave it blank),Fully Qualified Test Method Name,What info is in the issue report?,Is Flaky commit found?,Flaky Commit SHA,Developer Fixed Commit SHA,Module Name,Java Version,Bash Script to resolve compilation error,Does it compile?,Compilation Erro,"Root Reasons:Timing Dependent(TD), Implementation Dependent(ID), Order Dependent(OD)",Can you run the tests?,Reason not to run the Test,"Result (If you were able to reproduce,""Reproducible"", if not, what did you try so far and what was missing)",Path to java class,"Line number to
 insert code",Inserted Code,Zip file of Columns L to O,Dependencies of the compiled code zip for fixed version (~/.m2),Dependencies of the compiled code zip for flaky version (~/.m2),Compiled code zip  for flaky version (mvn install -DskipTests ...),Code changes between flaky and fixed version (git diff),Docker image required (java_version_Ubuntu_version),normal run,"Zero shot(reproducible or not) insert the no of line where changes occur
 including changes code","one shot(reproducible or not) insert the no of line where changes occur
 including changes code","two shot(reproducible or not) insert the no of line where changes occur
 including changes code","three shot(reproducible or not) insert the no of line where changes occur
 including changes code","four shot(reproducible or not) insert the no of line where changes occur
 including changes code","five shot(reproducible or not) insert the no of line where changes occur
 including changes code"
,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,
,CURATOR-681,Yes,Yes,,"testReentrantSingleLock","1.Placing `Thread.sleep(550)` after `mutex.release()` and before
`hasLock.set(false)` will fail this test more frequently.   2.https://github.com/apache/curator/pull/470",yes,d14cb464cbd4e8e0e1bb51daba76e84eb2e346db,260afcdadbadde87ce7a8c2a904afdc3c1013884,curator-recipes,java Version-8,,yes,no,TD,yes,,reproducible,curator-recipes/src/test/java/org/apache/curator/framework/recipes/locks/TestInterProcessMutexBase.java            2.mvn test -pl curator-recipes -Dtest=org.apache.curator.framework.recipes.locks.TestInterProcessMutex#testReentrantSingleLock,330," Thread.sleep(550);       2.Thread.sleep(550)` after `mutex.release()` and before
`hasLock.set(false",,,,,,,,no:in 100 time,yes: in 100 time,no,yes:in 100 time,yes:in 100 time,yes:in 100 time
,CURATOR-222,yes,yes,,testClientClosedDuringRefreshErrorMessage,"1. Backwards compatible to 3.4.6. If Containers are available, they’re used in all recipes that create parent nodes.
The use of EnsurePath is now deprecated     2.see https://github.com/apache/curator/pull/79#issuecomment-103719656   3.— Diff: curator-recipes/src/test/java/org/apache/curator/framework/recipes/cache/TestPathChildrenCache.java —
@@ -100,16 +100,16 @@ public void childEvent(CuratorFramework client, PathChildrenCacheEvent event) th
}
}",yes,f18f87657af56bec32e8861ce5b3965c99807609,47da6211fcd82fcb8454f3464a94bf7f1e88d00e,curator-recipes,java Version-8,,yes,no,TD,yes,,not reducible,1.mvn test -pl curator-recipes -Dtest=org.apache.curator.framework.recipes.cache.TestPathChildrenCache#testClientClosedDuringRefreshErrorMessage    2.mvn test -pl curator-recipes -Dtest=org.apache.curator.framework.recipes.cache.TestPathChildrenCache      3.curator-recipes/src/test/java/org/apache/curator/framework/recipes/cache/TestPathChildrenCache.java,130,,,,,,,,yes,no,no,no,no,no,no
,CURATOR-254,yes,yes,,testMulti(),"The TestBoundedDistributedQueue:testMulti fails intermittently. There is a maximum bound of 10 items for the queue, but it would seem that there's nothing providing synchronization between multiple producers for the same queue.Locking is provided in the DistributedQueue class, but only to stop multiple consumers reading the same message.The test defines the maximum items as 10, has 4 threads putting items onto the queue and will fail if at any point the number of work items on the queue is > 20.",yes,"9d2d6851e4c737ffe2d2dcd8ec49e946084d339d","970bd3963c
dca545580460e34ccaead8e9c212f7",curator-recipes,java Version-8,,yes,no,TD,yes,,reproducible,1.  mvn test -pl curator-recipes -Dtest=org.apache.curator.framework.recipes.queue.TestBoundedDistributedQueue,"                                 71,82,190","190:            Assert.assertTrue(count <= (MAX_ITEMS * SLOP_FACTOR), counts.toString());  71: final int           ADD_ITEMS = MAX_ITEMS * 1000;
        final int           SLOP_FACTOR = 2;   82:  Thread.sleep(100);",,,,,,,,no:in 100 times,no:in 100 times,"yes:in 100time(Running org.apache.curator.framework.recipes.queue.TestBoundedDistributedQueue
Tests run: 2, Failures: 1, Errors: 0, Skipped: 0, Time elapsed: 1,196.79 sec <<< FAILURE! - in org.apache.curator.framework.recipes.queue.TestBoundedDistributedQueue
testMulti(org.apache.curator.framework.recipes.queue.TestBoundedDistributedQueue)  Time elapsed: 1,174.752 sec  <<< FAILURE!
",yes:in 100 times,yes:in 100 times,yes:in 100 times
,CURATOR-671,yes,yes,,testLostRestart,,yes,git checkout 4221604,git checkout 260afcd,curator-recipes,java Version-8,,yes,no,TD,yes,,reproducible,mvn -pl curator-recipes test -Dtest=org.apache.curator.framework.recipes.leader.TestLeaderSelectorCluster#testLostRestart,0,,,,,,,,,no:100 times,no:  in 100 times,yes:first 6 times in 100time,yes:first 6 times in 100time,yes:in 100time,
,CURATOR-694,,,,,,,,,,,,,,,,,reproducible,,,,,,,,,,,,,,,,
,APEXCORE-453,yes,yes,,testFibonacci,1.testFibonacciRecovery1(com.datatorrent.stram.plan.logical.DelayOperatorTest)  Time elapsed: 9.444 sec  <<< FAILURE!    2.check https://github.com/apache/incubator-apex-core/pull/284#issuecomment-200566464,yes,8549664399abdf3b646146f3db9e99d930ed8774,f2770b22bf631a39328e003eb8af07252ee665fa,engine,java Version-8,,yes,no,TD,yes,, reproducible,mvn -pl engine test -Dtest=com.datatorrent.stram.plan.logical.DelayOperatorTest#testFibonacci,0,,"show error massage .Results :

Tests in error:
  DelayOperatorTest.testFibonacciRecovery1:356 ▒ NullPointer
Tests run: 1, Failures: 0, Errors: 1, Skipped: 0
[INFO] ------------------------------------------------------------------------
[INFO] BUILD FAILURE
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  23.546 s
[INFO] Finished at: 2024-10-05T19:54:08+06:00
[INFO] ------------------------------------------------------------------------
[ERROR] Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:2.14.1:test (default-test) on project apex-engine: There are test failures.
...",n,,,,,,yes:100times,yes:100times,yes:100times,yes:100times,yes:100times,yes:100times
,APEXCORE-459,yes,yes,,performanceTest,"
Failed tests:
AbstractReservoirTest.performanceTest:277 com.datatorrent.stram.engine.AbstractReservoir$SpscArrayQueueReservoir: expected to complete within 10000 millis. Actual time 12707 millis",yes,   87907df81367c3cdd2688baf55890ff24a4b8f57,0ead5f1e351c16646131226dbb0ae513eefc182b  ,engine,java Version-8,,yes,np,TD,yes,,reproducible,mvn -pl engine test -Dtest=com.datatorrent.stram.engine.AbstractReservoirTest#performanceTest     2. mvn -pl engine test -Dtest=com.datatorrent.stram.engine.AbstractReservoirTest,"231,237,254","1.skip ignore   2, 254-Thread.sleep(100); //added for flaky",n,,,,,,0,no:100times,yes:100times,yes:100times,yes:100times,yes:100times,yes:100times
,APEXCORE-403,yes,yes,,testFibonacciRecovery1(),,yes,,,,java Version-8,,Yes,NO,TD,yes,,reproducible,mvn -pl engine test -Dtest=com.datatorrent.stram.plan.logical.DelayOperatorTest#testFibonacciRecovery1,0,,,,,,,,1,yes:100times,yes:100times,yes:100times,yes:100times,yes:100times,yes:100times
,COLLECTIONS-661,yes,yes,,getMap(),"1. When using Windows and JVM 8, running tests on Eclipse, or Maven fail   2. its occure  due to a concurrency issue, where debugging adds some extra time hiding the real issue.  3.concurrency issue in HashSetValuedHashMapTest
The `getMap()` method, when testing a `HashSetValuedHashMap`, would return an object of this type. Which is an instance of `SetValuedMap",yes," b5eb4fcc8d325810297f10c595961d4eee528ae0", eed8a7adb3de7441751e846f4a75d110dd205f23,none,java Version 8,,yes,n0,TD,yes,,,mvn test -Dtest=org.apache.commons.collections4.multimap.HashSetValuedHashMapTest -Drat.skip=true,0,   boolean isSetValuedMap = AbstractMultiValuedMapTest.this.getMap() instanceof SetValuedMap;  insert this line in  public Collection<V>[] getSampleValues()  method and     public Collection<V>[] getNewSampleValues() {,n,,,,,,,no:100times,yes:100times,yes:100times,yes:100times,yes:100times,yes:100times
,COLLECTIONS-812,yes,yes,,testSave,"Fragile test EmptyPropertiesTest.testSave, found in https://github.com/apache/commons-collections/pull/304

It passed after kicked GH Actions.",yes,bc326f8ef5b0d424f4e527e1a05d7cd36d147ef6,1677daceab74895fdf5056c9a48aa94f9e709fb9,none,java version 8,,yes,no,TD,yes,,reproducible,mvn test -Dtest=org.apache.commons.collections4.properties.EmptyPropertiesTest#testSave  -Drat.skip=true,"265,272,285","add ... try {
                Thread.sleep(2000);
            } catch (InterruptedException e) {
                fail(""Test interrupted during sleep: "" + e.getMessage(), e);
            }    ...after [PropertiesFactory.EMPTY_PROPERTIES.store(actual, comments);    PropertiesFactory.INSTANCE.createProperties().store(expected, comments);expected.reset();]",n,,,,,,,no:100times,yes:100times,yes:100times,yes:100times,yes:100times,yes:100times
,COLLECTIONS-836,yes,yes,,,there is no info but show the test class where the probem occure,yes,14d7d98e7e3c993ac2e0f8b32ccc3789eb7ecc14,14d7d98e7e3c993ac2e0f8b32ccc3789eb7ecc14,none,java version 8,,yes,no,,yes,,reproducible,mvn test -Dtest=org.apache.commons.collections4.bidimap.DualHashBidiMapTest#testBidiKeySetValuesOrder -Drat.skip=true,268," just skip this code    if((getIterationBehaviour() & AbstractCollectionTest.UNORDERED) == 0){          ..... @Test     public void testBidiKeySetValuesOrder() {         resetFull();         final Iterator<K> keys = map.keySet().iterator();         final Iterator<V> values = map.values().iterator();         while (keys.hasNext() && values.hasNext()) {             final K key = keys.next();             final V value = values.next();             assertSame(map.get(key), value);         }         assertFalse(keys.hasNext());         assertFalse(values.hasNext());     }",n,,,, ,0,,no:100times,no:100times,yes:100times,yes:100times,yes:100times,yes:100times
,COLLECTIONS-850,yes,yes,,testMultiValuedMapIterator(),no there is not enough info,yes,"I did not find any commit from the PR. Then i extracted the commit near the date of the creation of the issue i.e “git log --since=""2023-11-15"" --until=""2023-11-23"" --pretty=format:""%H %ad %s"".   1. a3c8e94365a528e5630b203c4d30790f342d2c4a",a3c8e94365a528e5630b203c4d30790f342d2c4a,none,java version 8,,yes,no,TD,yes,,reproducible,1.mvn test -Dtest=org.apache.commons.collections4.multimap.TransformedMultiValuedMapTest#testMultiValuedMapIterator -Drat.skip=true   2.mvn -Dtest=org.apache.commons.collections4.multimap.ArrayListValuedHashMapTest#testMultiValuedMapIterator -Drat.skip=true,nan,"     @Test
    public void testMultiValuedMapIterator() {
        final MultiValuedMap<K, V> map = makeFullMap();
        final MapIterator<K, V> it = map.mapIterator();

        assertThrows(IllegalStateException.class, () -> it.getKey());
        assertThrows(IllegalStateException.class, () -> it.getValue());
        if (isAddSupported()) {
            assertThrows(IllegalStateException.class, () -> it.setValue((V) ""V""));
        }

        if (!isHashSetValue() && isAddSupported()) {
            assertTrue(it.hasNext() );
            assertEquals(""one"", it.next());
            assertEquals(""one"", it.getKey());
            assertEquals(""uno"", it.getValue());
            assertEquals(""one"", it.next());
assertEquals(""three"", it.getKey());
            assertEquals(""tres"", it.getValue());
            assertEquals(""three"", it.next());
            assertEquals(""three"", it.getKey());
            assertEquals(""trois"", it.getValue());
            assertThrows(UnsupportedOperationException.class, () -> it.setValue((V) ""threetrois""));
        }
    }",n,,,,"     @Test
    public void testMultiValuedMapIterator() {
        final MultiValuedMap<K, V> map = makeFullMap();
        final MapIterator<K, V> it = map.mapIterator();

        assertThrows(IllegalStateException.class, () -> it.getKey());
        assertThrows(IllegalStateException.class, () -> it.getValue());
        if (isAddSupported()) {
            assertThrows(IllegalStateException.class, () -> it.setValue((V) ""V""));
        }

        if (!isHashSetValue() && isAddSupported()) {
            assertTrue(it.hasNext() );
            assertEquals(""one"", it.next());
            assertEquals(""one"", it.getKey());
            assertEquals(""uno"", it.getValue());
            assertEquals(""one"", it.next());
assertEquals(""three"", it.getKey());
            assertEquals(""tres"", it.getValue());
            assertEquals(""three"", it.next());
            assertEquals(""three"", it.getKey());
            assertEquals(""trois"", it.getValue());
            assertThrows(UnsupportedOperationException.class, () -> it.setValue((V) ""threetrois""));
        }
    }
",0,,no:100times,no:100times,yes:100times,yes:100times,yes:100times,yes:100times
,COLLECTIONS-833,yes,yes,,,,,,,,,,,,,,,,mvn test -Dtest=org.apache.commons.collections4.properties.EmptyPropertiesTest#testStoreToOutputStream -Drat.skip=true,0,,,,,,,,,no:100times,no:100times,no:100times,no:100times,no:100times,yes:100times
,COLLECTIONS-771,yes,yes,,,,,,,,,,,,,,,,mvn test -Dtest=org.apache.commons.collections4.multimap.AbstractMultiValuedMapTest#testToString -Drat.skip=true,0,,,,,,,,,,,,,,
,CAMEL-12025,yes,yes,,"testToFunction",The copy of the test we have in WildFly Camel fails intermittently - see https://github.com/wildfly-extras/wildfly-camel/issues/2320,yes,56b8c1a9f19effbe80dc0c6153b9e33280cee126   2.57ce965da2c60c7d469e60b1542203cc49e57136,56b8c1a9f19effbe80dc0c6153b9e33280cee126    2.57ce965da2c60c7d469e60b1542203cc49e57136,components/camel-reactor,java version - 17,,yes,no,TD,yes,,reproducible,mvn -pl components/camel-reactor test -Dtest=org.apache.camel.component.reactor.engine.ReactorStreamsServiceTest#testToFunction,332,"add    .doOnNext(res -> {
                    latch.countDown();
                    try {
                        Thread.sleep(ThreadLocalRandom.current().nextInt(300));  // Introduce random sleep to simulate flakiness
                    } catch (InterruptedException e) {
                        Thread.currentThread().interrupt();
                    })
          assertTrue(latch.await(500, TimeUnit.SECONDS));",n,,,,"add ..   .doOnNext(res -> {
                    latch.countDown();
                    try {
                        Thread.sleep(ThreadLocalRandom.current().nextInt(300));  // Introduce random sleep to simulate flakiness
                    } catch (InterruptedException e) {
                        Thread.currentThread().interrupt();
                    }
                })          assertTrue(latch.await(500, TimeUnit.SECONDS));",0,,yes:in 100 times,yes:in 100 times,yes:in 100 times,yes:in 100 times,yes: in 100 times,yes:in 100times
,CAMEL-18661,yes,yes,,testMulticastAsync(),,yes,6e6fac2aa8970e12e6afdddea9469e83e1598443,6e6fac2aa8970e12e6afdddea9469e83e1598443,components/camel-opentelemetry,java version - 17,,yes,no,TD,yes,,reproducible,mvn -pl components/camel-opentelemetry test -Dtest=org.apache.camel.opentelemetry.CurrentSpanTest#testMulticastAsync,                                  216-246,"add   :CompletableFuture<Void> future1 = CompletableFuture.runAsync(() -> template.sendBody(""direct:start"", ""Hello World""));
CompletableFuture<Void> future2 = CompletableFuture.runAsync(() -> template.sendBody(""direct:start"", ""Hello World Again""));

CompletableFuture.allOf(future1, future2).join();",n,,,,,,,no,no,no,no,yes: in 100 times,yes:in 100times
,CAMEL-20044,yes,yes,,,,,002c9ca5824e06bd7d11d1ed0d70cd52ddfc0091,253277680e28ae9aac4a5da978b54a464ca3e8,,java version - 17,,yes,no,TD,yes,,,,,,,,,,,,,,,,,,
,CAMEL-528,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,yes,yes,yes,yes
,CAMEL-9133,yes,yes,,testChangedReadLockMinAge,"The FileChangedReadLockMinAgeTest fails intermettently, maybe once every 5 times",yes,d9713c8b4a25429900ee6465cb9d5da1694a3ac4,aeb57bf,core/camel-core,java version - 17,,yes,no,TD,,,reproducible,mvn -pl core/camel-core test -Dtest=org.apache.camel.component.file.strategy.FileChangedReadLockMinAgeTest#testChangedReadLockMinAge,"45,46,47,48"," Thread.sleep(100); // Delay before writing the slow file
        writeSlowFile();
        Thread.sleep(100);
        assertMockEndpointsSatisfied();",,,,,,,,no,no,yes,yes,yes,yes
,CAMEL-9136,yes,yes,,"testTempQueueRefreshed","1.The JmsRequestReplyTempQueueMultipleConsumersTest.testTempQueueRefreshed test fails intermittently with errors like the one below. (Although sometimes the number of messages received is close to 100, and sometimes it's close to 0).    2.there is no info how to solve it.",,there does not find any commit,there does not find any commit,components/camel-jms,java version - 17,,yes,np,TD,yes,,reproducible,mvn -pl components/camel-jms test -Dtest=org.apache.camel.component.jms.JmsRequestReplyTempQueueMultipleConsumersTest#testTempQueueRefreshed,79,"add....  executorService.submit(() -> {
                try {
                    Thread.sleep(1000); // Add a sleep delay of 100ms
                    template.sendBody(""direct:start"", ""Message "" + index);
                } catch (InterruptedException e) {
                    Thread.currentThread().interrupt();
                } in doSendMessages()",,,,,"add....  executorService.submit(() -> {
                try {
                    Thread.sleep(1000); // Add a sleep delay of 100ms
                    template.sendBody(""direct:start"", ""Message "" + index);
                } catch (InterruptedException e) {
                    Thread.currentThread().interrupt();
                } in doSendMessages()",0,,no,no,no,yes,yes,yes
,CAMEL-9135,,,,testMultipleConsumers,,,,,,,,,,,,,, mvn test -pl components/camel-disruptor -Dtest=org.apache.camel.component.disruptor.BasicDisruptorComponentTest,0,,,,,,,,,,,,,,
,CAMEL-19484,yes,yes,,testsend,"1.The test WireTapAbortPolicyTest is flaky and it seems to fail when running on fast nodes.   2.The test can be flaky if any of the 2 first messages are processed faster (1s delay) than the 3rd is being processed by wiretap, which would then have room in the pool, and not cause it to abort.   3.see solution https://github.com/apache/camel/commit/9dd5d8061a15165b1bcd88c00953a61fd891f2b8",yes,3027559beb2880ec99a844e9ba6146c52fb47329,9dd5d8061a15165b1bcd88c00953a61fd891f2b8,core/camel-core,build success(version-17)mvn clean install core/camel-core -DskipTests -pl test -am,n,yes,no,TD,,,reproducile,mvn test -pl core/camel-core -Dtest=org.apache.camel.processor.WireTapAbortPolicyTes,0," just change ...ExecutorService pool = new ThreadPoolBuilder(context)
                        // only allow 1 thread and 1 pending task
                        .poolSize(1)
                        .maxPoolSize(1)
                        .maxQueueSize(1)
                        // only allow 2 threads
                        // .poolSize(2)
                        // .maxPoolSize(2)
                        // .maxQueueSize(0)
                        // and about tasks
                        .rejectedPolicy(ThreadPoolRejectedPolicy.Abort)
                        .build();

                from(""direct:start"").to(""log:foo"")
                        // pass in the custom pool to the wireTap DSL
                        .wireTap(""direct:tap"").executorService(pool).to(""mock:result"");
                // END SNIPPET: e1
                from(""direct:tap"").delay(1000).to(""mock:tap"");
                // from(""direct:tap"")
                //         .process(e -> {
                //             //Thread.sleep(1000);
                //             //barrier.await(5, TimeUnit.SECONDS);
                //         })
                //         // .process(e -> latch.await(5, TimeUnit.SECONDS))
                //         .to(""mock:tap"");
            }",,,,," just change  ..ExecutorService pool = new ThreadPoolBuilder(context)
                        // only allow 1 thread and 1 pending task
                        .poolSize(1)
                        .maxPoolSize(1)
                        .maxQueueSize(1)
                        // only allow 2 threads
                        // .poolSize(2)
                        // .maxPoolSize(2)
                        // .maxQueueSize(0)
